zip_code,school_district,rep_name,rep_email,rep_role,rep_district,rep_party,rep_stance,rep_career,rep_address,enrollment,poverty_rate,minority_rate,avg_teacher_salary,avg_teacher_ex,percent_masters
45013,Hamilton City Schools,Sara Carruthers,rep47@ohiohouse.gov,State Rep,47,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",8900,100%,45%,$62500,13,65%
45015,Hamilton City Schools,Sara Carruthers,rep47@ohiohouse.gov,State Rep,47,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",8900,100%,45%,$62500,13,65%
45056,Talawanda School District,Sara Carruthers,rep47@ohiohouse.gov,State Rep,47,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2850,32%,12%,$64000,14,70%
45014,Fairfield City Schools,Thomas Hall,rep46@ohiohouse.gov,State Rep,46,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",9200,48%,40%,$68000,15,72%
45042,Middletown City Schools,Thomas Hall,rep46@ohiohouse.gov,State Rep,46,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",6100,98%,42%,$59000,11,55%
45040,Mason City Schools,Adam Matthews,rep56@ohiohouse.gov,State Rep,56,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",10300,8%,35%,$76000,17,82%
45069,Lakota Local Schools,Thomas Hall,rep46@ohiohouse.gov,State Rep,46,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",17000,18%,28%,$72000,16,75%
45202,Cincinnati Public Schools,Dani Isaacsohn,isaacsohn@ohiohouse.gov,State Rep,24,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",33000,78%,65%,$66500,12,65%
45248,Oak Hills Local Schools,Cindy Abrams,rep29@ohiohouse.gov,State Rep,29,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",7200,25%,15%,$71000,14,70%
45242,Sycamore Community Schools,Rachel Baker,rep27@ohiohouse.gov,State Rep,27,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",5600,12%,35%,$84000,16,85%
45246,Princeton City Schools,Jessica Miranda,rep28@ohiohouse.gov,State Rep,28,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",5800,65%,80%,$78000,13,72%
45402,Dayton Public Schools,Willis Blackshear,rep38@ohiohouse.gov,State Rep,38,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",12000,100%,75%,$61000,10,58%
45429,Kettering City Schools,Andrea White,rep36@ohiohouse.gov,State Rep,36,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",7600,32%,18%,$75000,15,72%
45324,Fairborn City Schools,Brian Lampton,rep70@ohiohouse.gov,State Rep,70,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",4200,45%,20%,$65000,12,60%
zip_code,school_district,rep_name,rep_email,rep_role,rep_district,rep_party,rep_stance,rep_career,rep_address,enrollment,poverty_rate,minority_rate,avg_teacher_salary,avg_teacher_ex,percent_masters
45801,Lima City Schools,Matt Huffman,rep78@ohiohouse.gov,House Speaker,78,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",3800,90%,55%,$61000,11,55%
45805,Shawnee Local Schools,Matt Huffman,rep78@ohiohouse.gov,House Speaker,78,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2400,18%,15%,$69000,15,72%
45840,Findlay City Schools,Jon Cross,rep83@ohiohouse.gov,State Rep,83,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",5300,35%,20%,$67000,13,62%
43512,Defiance City Schools,Roy Klopfenstein,rep82@ohiohouse.gov,State Rep,82,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2400,45%,25%,$62000,13,60%
45891,Van Wert City Schools,Roy Klopfenstein,rep82@ohiohouse.gov,State Rep,82,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2100,38%,10%,$60000,13,58%
44870,Sandusky City Schools,DJ Swearingen,rep89@ohiohouse.gov,State Rep,89,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",3200,75%,45%,$63000,12,60%
44839,Huron City Schools,DJ Swearingen,rep89@ohiohouse.gov,State Rep,89,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",1400,15%,10%,$68000,14,70%
43420,Fremont City Schools,Gary Click,rep88@ohiohouse.gov,State Rep,88,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",3900,55%,35%,$62000,12,58%
44883,Tiffin City Schools,Gary Click,rep88@ohiohouse.gov,State Rep,88,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2600,42%,15%,$61000,13,60%
43302,Marion City Schools,Tracy Richardson,rep86@ohiohouse.gov,State Rep,86,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",4100,85%,25%,$61000,12,55%
43040,Marysville Exempted Village,Tracy Richardson,rep86@ohiohouse.gov,State Rep,86,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",5600,18%,12%,$75000,15,70%
43113,Circleville City Schools,Brian Stewart,rep12@ohiohouse.gov,State Rep,12,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2000,50%,10%,$61000,13,60%
43160,Washington Court House,Bob Peterson,rep91@ohiohouse.gov,State Rep,91,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2100,55%,15%,$59000,12,58%
45693,"West Union (Adams Co)",Justin Pizzulli,rep90@ohiohouse.gov,State Rep,90,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",3500,65%,5%,$54000,11,50%
43050,Mount Vernon City Schools,Darrell Kick,rep98@ohiohouse.gov,State Rep,98,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",3600,45%,8%,$62000,14,62%
